"permitReference","permitName","address","postcode","permitUrl","section","type","subtype"
"Elite--Station-Road.Elite_Dry_Cleaners.pdf","Elite Dry Cleaners (PDF, 595 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/dry-cleaners/Elite--Station-Road/Elite%20Dry%20Cleaners.pdf","B","dry-cleaners",""
"Foxhill.Foxhill_Dry_Cleaners_%26_Launderette.pdf","Foxhill Dry Cleaners & Launderette (PDF, 690 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/dry-cleaners/Foxhill/Foxhill%20Dry%20Cleaners%20%26%20Launderette.pdf","B","dry-cleaners",""
"Goodmans-Sparks.Goodmans_Sparks_Ltd.pdf","Goodmans Sparks Ltd (PDF, 1221 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/dry-cleaners/Goodmans-Sparks/Goodmans%20Sparks%20Ltd.pdf","B","dry-cleaners",""
"Johnsons---Ecclesall-Road.Johnsons_Cleaners_UK_Ltd_-_Ecclesall_Road.pdf","Johnsons Cleaners UK Ltd - Ecclesall Road (PDF, 2259 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/dry-cleaners/Johnsons---Ecclesall-Road/Johnsons%20Cleaners%20UK%20Ltd%20-%20Ecclesall%20Road.pdf","B","dry-cleaners",""
"Johnsons---Pinstone-Street.Johnson_Cleaners_UK_Ltd-_Pinstone_Street.pdf","Johnson Cleaners UK Ltd- Pinstone Street (PDF, 1849 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/dry-cleaners/Johnsons---Pinstone-Street/Johnson%20Cleaners%20UK%20Ltd-%20Pinstone%20Street.pdf","B","dry-cleaners",""
"Mortons.Mortons_Dry_Cleaners.pdf","Mortons Dry Cleaners (PDF, 1452 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/dry-cleaners/Mortons/Mortons%20Dry%20Cleaners.pdf","B","dry-cleaners",""
"Nether-Edge.Nether_Edge_Launderette_%26_Dry_Cleaners.pdf","Nether Edge Launderette & Dry Cleaners (PDF, 893 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/dry-cleaners/Nether-Edge/Nether%20Edge%20Launderette%20%26%20Dry%20Cleaners.pdf","B","dry-cleaners",""
"Northern-General-Hospital.Northern_General_Hospital.pdf","Northern General Hospital (PDF, 1073 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/dry-cleaners/Northern-General-Hospital/Northern%20General%20Hospital.pdf","B","dry-cleaners",""
"Pennywise-Cleaners.Pennywise_Cleaners.pdf","Pennywise Cleaners (PDF, 949 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/dry-cleaners/Pennywise-Cleaners/Pennywise%20Cleaners.pdf","B","dry-cleaners",""
"St-Michaels-Dry-Cleaners.St_Michaels_Dry_Cleaners.pdf","St Michaels Dry Cleaners (PDF, 877 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/dry-cleaners/St-Michaels-Dry-Cleaners/St%20Michaels%20Dry%20Cleaners.pdf","B","dry-cleaners",""
"Timpson-Ltd.Timpson_Ltd_c_o_Sainsburys%2C_Archer_Road.pdf","Timpson Ltd c/o Sainsburys, Archer Road (PDF, 1215 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/dry-cleaners/Timpson-Ltd/Timpson%20Ltd%20c_o%20Sainsburys%2C%20Archer%20Road.pdf","B","dry-cleaners",""
"alloy-steel.The_Alloy_Steel_Melting_Company_Limited.pdf","The Alloy Steel Melting Company Limited (PDF, 442 KB)","Unit 2 Cross Turner Street, Sheffield, S2 4AB","S2 4AB","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/ferrous/alloy-steel/The%20Alloy%20Steel%20Melting%20Company%20Limited.pdf","B","metals","ferrous"
"corus.TATA_Steel_UK_Ltd_trading_as_Corus_Engineering_Steels.pdf","TATA Steel UK Ltd trading as Corus Engineering Steels (PDF, 540 KB)","Stocksbridge, Sheffield, South Yorkshire, S36 2JA","S36 2JA","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/ferrous/corus/TATA%20Steel%20UK%20Ltd%20trading%20as%20Corus%20Engineering%20Steels.pdf","B","metals","ferrous"
"darwins.Darwins_Holding_Limited.pdf","Darwins Holding Limited (PDF, 466 KB)","Fitzwilliam Works, Sheffield Road, Tinsley, Sheffield, S9 1RL","S9 1RL","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/ferrous/darwins/Darwins%20Holding%20Limited.pdf","B","metals","ferrous"
"durham.Durham_Foundry__Sheffield__Ltd.pdf","Durham Foundry (Sheffield) Ltd (PDF, 576 KB)","Harleston Street, Sheffield, S4 7QB","S4 7QB","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/ferrous/durham/Durham%20Foundry%20%28Sheffield%29%20Ltd.pdf","B","metals","ferrous"
"trefoil.Trefoil_Steel_Company_Limited.pdf","Trefoil Steel Company Limited (PDF, 1444 KB)","Rotherfield Works, Dead Man?s Hole Lane, Tinsley , Sheffield, S9 1QQ","S9 1QQ","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/ferrous/trefoil/Trefoil%20Steel%20Company%20Limited.pdf","B","metals","ferrous"
"william-cook-integrity.William_Cook_Integrity_Limited.pdf","William Cook Integrity Limited (PDF, 891 KB)","Parkway Avenue, Sheffield, S9 4UL","S9 4UL","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/ferrous/william-cook-integrity/William%20Cook%20Integrity%20Limited.pdf","B","metals","ferrous"
"william-cook-precision.William_Cook_Precision_Limited.pdf","William Cook Precision Limited (PDF, 342 KB)","Station Road, Halfway, Sheffield, S20 3GD","S20 3GD","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/ferrous/william-cook-precision/William%20Cook%20Precision%20Limited.pdf","B","metals","ferrous"
"norton-cast.Norton_Cast_Products_Ltd.pdf","Norton Cast Products Ltd (PDF, 389 KB)","Capital Steel Works, Tinsley Park Road, Sheffield, S9 5DL","S9 5DL","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/ferrous/norton-cast/Norton%20Cast%20Products%20Ltd.pdf","B","metals","ferrous"
"elg-carrs.ELG_Haniel_Metals_Limited_Trading_as_ELG_Carrs_Stainless_Steels.pdf","ELG Haniel Metals Limited Trading as ELG Carrs Stainless Steels (PDF, 2841 KB)","Pluto Works, Wadsley Bridge, Sheffield, S6 1LL","S6 1LL","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/ferrous/elg-carrs/ELG%20Haniel%20Metals%20Limited%20Trading%20as%20ELG%20Carrs%20Stainless%20Steels.pdf","B","metals","ferrous"
"ferrous.Castmaster.pdf","Castmaster (PDF, 2066 KB)","Castmaster Permit","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/ferrous/Castmaster.pdf","B","metals",""
"HI-Quality-Steel-Castings-Limited-Nov2010.HI_Quality_Steel_Castings_Limited__.pdf","HI Quality Steel Castings Limited   (PDF, 458 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/ferrous/HI-Quality-Steel-Castings-Limited-Nov2010/HI%20Quality%20Steel%20Castings%20Limited%20%20.pdf","B","metals","ferrous"
"brass-founders.Brass_Founders_Sheffield.pdf","Brass Founders Sheffield (PDF, 850 KB)","Gower Works, Gower Street, Sheffield, S4 7LJ","S4 7LJ","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/non-ferrous/brass-founders/Brass%20Founders%20Sheffield.pdf","B","metals","non-ferrous"
"symmetry-medical.Symmetry_Medical_Thornton_Precision_Components_Ltd.pdf","Symmetry Medical Thornton Precision Components Ltd (PDF, 1821 KB)","Beulah Road, Hillsborough, Sheffield, S6 2AN","S6 2AN","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/non-ferrous/symmetry-medical/Symmetry%20Medical%20Thornton%20Precision%20Components%20Ltd.pdf","B","metals","non-ferrous"
"transition-intl.Transition_International_Limited.pdf","Transition International Limited (PDF, 458 KB)","Hi Temp Works, 480 Penistone Road, Sheffield, S6 2FU","S6 2FU","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/non-ferrous/transition-intl/Transition%20International%20Limited.pdf","B","metals","non-ferrous"
"Atomising-Systems.Atomising_Systems.pdf","Atomising Systems (PDF, 1081 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/non-ferrous/Atomising-Systems/Atomising%20Systems.pdf","B","metals","non-ferrous"
"Orchid-Orthopedic-Solutions-Sheffield-Ltd.Orchid_Orthopedic_Solutions_Sheffield_Ltd.pdf","Orchid Orthopedic Solutions Sheffield Ltd (PDF, 791 KB)","Orchid Orthopedic Solutions Sheffield","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/non-ferrous/Orchid-Orthopedic-Solutions-Sheffield-Ltd/Orchid%20Orthopedic%20Solutions%20Sheffield%20Ltd.pdf","B","metals","non-ferrous"
"Tivac-Alloys-Ltd.Tivac_Alloys_Ltd.pdf","Tivac Alloys Ltd (PDF, 627 KB)","Tivic Alloys Ltd","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/non-ferrous/Tivac-Alloys-Ltd/Tivac%20Alloys%20Ltd.pdf","B","metals","non-ferrous"
"ELG-Utica.ELG_Utica_-_non-ferrous.pdf","ELG Utica - non-ferrous (PDF, 615 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/non-ferrous/ELG-Utica/ELG%20Utica%20-%20non-ferrous.pdf","B","metals","non-ferrous"
"tivac-alloys.Tivac_Alloys_Limited.pdf","Tivac Alloys Limited (PDF, 1231 KB)","115 Blackburn Road, Sheffield, S61 2DN","S61 2DN","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/decontamination/tivac-alloys/Tivac%20Alloys%20Limited.pdf","B","metals","decontamination"
"ELG-Utica.ELG_Utica.pdf","ELG Utica (PDF, 615 KB)","ELG Utica Permit","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/decontamination/ELG-Utica/ELG%20Utica.pdf","B","metals","decontamination"
"swann-morton.Swann_Morton_Ltd.pdf","Swann Morton Ltd (PDF, 1714 KB)","Penn Works, Owlerton Green, Sheffield, S6 2BJ","S6 2BJ","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/surface-treatment/swann-morton/Swann%20Morton%20Ltd.pdf","B","metals","surface-treatment"
"symmetry-medical.Symmetry_Medical_Thornton_Precision_Components_Limited.pdf","Symmetry Medical Thornton Precision Components Limited (PDF, 849 KB)","Beulah Road, Hillsborough, Sheffield, S6 2AN","S6 2AN","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/surface-treatment/symmetry-medical/Symmetry%20Medical%20Thornton%20Precision%20Components%20Limited.pdf","B","metals","surface-treatment"
"Orchid-Acid-Jan-2013.Orchid_Acid_Jan_2013.pdf","Orchid Acid Jan 2013 (PDF, 453 KB)","Orchid Orthopedic","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/surface-treatment/Orchid-Acid-Jan-2013/Orchid%20Acid%20Jan%202013.pdf","B","metals","surface-treatment"
"doncasters.Doncaster_s_Precision_Forgings_Ltd.pdf","Doncaster's Precision Forgings Ltd (PDF, 432 KB)","P.O. Box 66, Penistone Road, Sheffield, S6 2FR","S6 2FR","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/metals/surface-treatment/doncasters/Doncaster_s%20Precision%20Forgings%20Ltd.pdf","B","metals","surface-treatment"
"bradfield-road.Bradfield_Road_Service_Station.pdf","Bradfield Road Service Station (PDF, 365 KB)","Bradfield Road, Sheffield, S6 2DA","S6 2DA","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/bradfield-road/Bradfield%20Road%20Service%20Station.pdf","B","petrol-station",""
"bramall-lane.Bramall_Lane_Service_Station.pdf","Bramall Lane Service Station (PDF, 344 KB)","105 Bramall Lane, Sheffield, S2 4QZ","S2 4QZ","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/bramall-lane/Bramall%20Lane%20Service%20Station.pdf","B","petrol-station",""
"crosspool.Crosspool_Service_Station.pdf","Crosspool Service Station (PDF, 332 KB)","459 Manchester Road, Sheffield, S10 5DS","S10 5DS","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/crosspool/Crosspool%20Service%20Station.pdf","B","petrol-station",""
"cutlers.Cutlers_Filling_Station.pdf","Cutlers Filling Station (PDF, 366 KB)","Northfield Road, Sheffield, S10 1QP","S10 1QP","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/cutlers/Cutlers%20Filling%20Station.pdf","B","petrol-station",""
"darnall.Darnall_Service_Station.pdf","Darnall Service Station (PDF, 304 KB)","Greenland Road, Sheffield, S9 5HF","S9 5HF","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/darnall/Darnall%20Service%20Station.pdf","B","petrol-station",""
"deepcar.Deepcar_Service_Station.pdf","Deepcar Service Station (PDF, 319 KB)","74 Manchester Road, Deepcar, Sheffield, S36 2RE","S36 2RE","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/deepcar/Deepcar%20Service%20Station.pdf","B","petrol-station",""
"halfway.Halfway_Service_Station__UK__Ltd.pdf","Halfway Service Station (UK) Ltd (PDF, 287 KB)","Station Road, Halfway, Sheffield, S20 3GT","S20 3GT","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/halfway/Halfway%20Service%20Station%20%28UK%29%20Ltd.pdf","B","petrol-station",""
"halfway-garage-services.Halfway_Service_Station__UK__Ltd.pdf","Halfway Service Station (UK) Ltd (PDF, 266 KB)","Station Road, Halfway, Sheffield, S20 3GS","S20 3GS","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/halfway-garage-services/Halfway%20Service%20Station%20%28UK%29%20Ltd.pdf","B","petrol-station",""
"high-street.High_Street_Service_Station.pdf","High Street Service Station (PDF, 299 KB)","49 High Street, Beighton, Sheffield, S20 1EE","S20 1EE","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/high-street/High%20Street%20Service%20Station.pdf","B","petrol-station",""
"malthurst-norwood.Malthurst_Norwood_Filling_Station.pdf","Malthurst Norwood Filling Station (PDF, 327 KB)","448 Herries Road, Sheffield, S5 8TP","S5 8TP","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/malthurst-norwood/Malthurst%20Norwood%20Filling%20Station.pdf","B","petrol-station",""
"malthurst-gleadless.Malthurst_Gleadless_Service_Station.pdf","Malthurst Gleadless Service Station (PDF, 458 KB)","Ridgeway Road, Sheffield, S12 2JY","S12 2JY","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/malthurst-gleadless/Malthurst%20Gleadless%20Service%20Station.pdf","B","petrol-station",""
"mega.Mega_Service_Station.pdf","Mega Service Station (PDF, 405 KB)","580 City Road, Sheffield, S2 1GE","S2 1GE","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/mega/Mega%20Service%20Station.pdf","B","petrol-station",""
"morestyle.Morestyle_Filling_Station.pdf","Morestyle Filling Station (PDF, 337 KB)","235 Burncross Road, Sheffield, S35 1RZ","S35 1RZ","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/morestyle/Morestyle%20Filling%20Station.pdf","B","petrol-station",""
"morrisons-ecclesfield.Morrison_s_Service_Station.pdf","Morrison's Service Station (PDF, 383 KB)","299 The Common, Ecclesfield, Sheffield, S35 9WJ","S35 9WJ","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/morrisons-ecclesfield/Morrison_s%20Service%20Station.pdf","B","petrol-station",""
"morrisons-hillsboro.Morrison_s_Service_Station.pdf","Morrison's Service Station (PDF, 366 KB)","Hillsborough Barracks, 699 Penistone Road, Sheffield, S6 2GY","S6 2GY","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/morrisons-hillsboro/Morrison_s%20Service%20Station.pdf","B","petrol-station",""
"morrisons-meadowhead.Morrison_s_Service_Station.pdf","Morrison's Service Station (PDF, 341 KB)","84-116 Meadowhead, Sheffield, S8 7UE","S8 7UE","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/morrisons-meadowhead/Morrison_s%20Service%20Station.pdf","B","petrol-station",""
"morrisons-oxclose-park-rd.Morrison_s_Service_Station.pdf","Morrison's Service Station (PDF, 368 KB)","Oxclose Park Road North Sheffield, S20 2GN","S20 2GN","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/morrisons-oxclose-park-rd/Morrison_s%20Service%20Station.pdf","B","petrol-station",""
"murco.Murco_Filling_Station.pdf","Murco Filling Station (PDF, 311 KB)","120 Bradway Road, Sheffield, S17 4QW","S17 4QW","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/murco/Murco%20Filling%20Station.pdf","B","petrol-station",""
"norfolk-park.Norfolk_Park_Filling_Station.pdf","Norfolk Park Filling Station (PDF, 337 KB)","East Bank Road, Sheffield, S2 3PS","S2 3PS","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/norfolk-park/Norfolk%20Park%20Filling%20Station.pdf","B","petrol-station",""
"owler.Fuel_Power_-_Owler_Lane_Service_Station.pdf","Fuel Power - Owler Lane Service Station (PDF, 297 KB)","Owler Lane, Sheffield, S4 8GF","S4 8GF","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/owler/Fuel%20Power%20-%20Owler%20Lane%20Service%20Station.pdf","B","petrol-station",""
"pace-banner-cross.Pace_Banner_Cross_Garage.pdf","Pace Banner Cross Garage (PDF, 312 KB)","850 Ecclesall Road, Sheffield, S11 8TP","S11 8TP","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/pace-banner-cross/Pace%20Banner%20Cross%20Garage.pdf","B","petrol-station",""
"parkway.Parkway_Service_Station.pdf","Parkway Service Station (PDF, 1242 KB)","340 Prince of Wales Road, Sheffield, S2 1FF","S2 1FF","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/parkway/Parkway%20Service%20Station.pdf","B","petrol-station",""
"parson-cross.Parson_Cross_Service_Station.pdf","Parson Cross Service Station (PDF, 324 KB)","389 Wordsworth Avenue Sheffield, S5 9NF","S5 9NF","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/parson-cross/Parson%20Cross%20Service%20Station.pdf","B","petrol-station",""
"pearl-motors.Pearl_Motors_Limited.pdf","Pearl Motors Limited (PDF, 350 KB)","460 East Bank Road, Sheffield, S2 2AF","S2 2AF","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/pearl-motors/Pearl%20Motors%20Limited.pdf","B","petrol-station",""
"ring-road.Ring_Road_Filling_Station.pdf","Ring Road Filling Station (PDF, 329 KB)","Greenland Road, Sheffield, S9 5HE","S9 5HE","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/ring-road/Ring%20Road%20Filling%20Station.pdf","B","petrol-station",""
"sainsburys-archer-rd.Sainsbury_s_Service_Station.pdf","Sainsbury's Service Station (PDF, 330 KB)","Archer Road, Sheffield, S8 0JX","S8 0JX","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/sainsburys-archer-rd/Sainsbury_s%20Service%20Station.pdf","B","petrol-station",""
"sainsburys-crystal-peaks.Sainsbury_s_Service_Station.pdf","Sainsbury's Service Station (PDF, 303 KB)","Crystal Peaks, Eckington Lane, Sheffield, S20 7PP","S20 7PP","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/sainsburys-crystal-peaks/Sainsbury_s%20Service%20Station.pdf","B","petrol-station",""
"sainsburys-meadowhall-rd.Sainsbury_s_Service_Station.pdf","Sainsbury's Service Station (PDF, 425 KB)","Meadowhall Road, Sheffield, S9 1EQ","S9 1EQ","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/sainsburys-meadowhall-rd/Sainsbury_s%20Service%20Station.pdf","B","petrol-station",""
"sainsburys-vulcan-rd.Sainsbury_s_Service_Station.pdf","Sainsbury's Service Station (PDF, 374 KB)","Vulcan Road, Sheffield, S9 1EW","S9 1EW","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/sainsburys-vulcan-rd/Sainsbury_s%20Service%20Station.pdf","B","petrol-station",""
"shell-crest.Shell_Crest_Service_Station.pdf","Shell Crest Service Station (PDF, 387 KB)","320 Handsworth Road, Sheffield, S13 9BX","S13 9BX","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/shell-crest/Shell%20Crest%20Service%20Station.pdf","B","petrol-station",""
"shell-ecclesall-rd.Shell_Sheffield.pdf","Shell Sheffield (PDF, 321 KB)","158 Ecclesall Road, Sheffield, S11 8JD","S11 8JD","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/shell-ecclesall-rd/Shell%20Sheffield.pdf","B","petrol-station",""
"shell-st-philips.Shell_St_Phillips.pdf","Shell St Phillips (PDF, 424 KB)","228 Netherthorpe Road, Sheffield, S3 7EZ","S3 7EZ","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/shell-st-philips/Shell%20St%20Phillips.pdf","B","petrol-station",""
"snax-24.Snax_24_Petrol_Filling_Station.pdf","Snax 24 Petrol Filling Station (PDF, 362 KB)","Meadowhead, Chesterfield Road, Sheffield, S8 7UJ","S8 7UJ","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/snax-24/Snax%2024%20Petrol%20Filling%20Station.pdf","B","petrol-station",""
"somerfield-chesterfield-rd.Somerfield_Service_Station.pdf","Somerfield Service Station (PDF, 375 KB)","Chesterfield Road, Sheffield, S8 0RS","S8 0RS","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/somerfield-chesterfield-rd/Somerfield%20Service%20Station.pdf","B","petrol-station",""
"spar-leppings-lane.Spar_Service_Station.pdf","Spar Service Station (PDF, 386 KB)","Leppings Lane, Sheffield, S6 1LR","S6 1LR","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/spar-leppings-lane/Spar%20Service%20Station.pdf","B","petrol-station",""
"stocksbridge.Stocksbridge_Filling_Station.pdf","Stocksbridge Filling Station (PDF, 361 KB)","723 Manchester Road, Sheffield, S36 1DQ","S36 1DQ","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/stocksbridge/Stocksbridge%20Filling%20Station.pdf","B","petrol-station",""
"tesco-abbeydale-rd.Tesco_s_Filling_Station.pdf","Tesco's Filling Station (PDF, 364 KB)","Abbeydale Drive, Sheffield, S7 2QB","S7 2QB","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/tesco-abbeydale-rd/Tesco_s%20Filling%20Station.pdf","B","petrol-station",""
"tesco-chapeltown.Tesco_Chapeltown_Express.pdf","Tesco Chapeltown Express (PDF, 334 KB)","Burncross Road, Chapeltown, Sheffield, S35 1SA","S35 1SA","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/tesco-chapeltown/Tesco%20Chapeltown%20Express.pdf","B","petrol-station",""
"tesco-fulwood.Tesco_Fulwood_Express.pdf","Tesco Fulwood Express (PDF, 387 KB)","Fulwood Road, Sheffield, S10 3QA","S10 3QA","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/tesco-fulwood/Tesco%20Fulwood%20Express.pdf","B","petrol-station",""
"tinsley.Tinsley_Filling_Station.pdf","Tinsley Filling Station (PDF, 382 KB)","Sheffield Road, Sheffield, S9 2FY","S9 2FY","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/tinsley/Tinsley%20Filling%20Station.pdf","B","petrol-station",""
"total-carlisle-st-east.Total_Filling_Station.pdf","Total Filling Station (PDF, 313 KB)","Carlisle Street East, Sheffield, S4 8DT","S4 8DT","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/total-carlisle-st-east/Total%20Filling%20Station.pdf","B","petrol-station",""
"woodhouse-mill.Woodhouse_Mill_Service_Station.pdf","Woodhouse Mill Service Station (PDF, 307 KB)","590 Retford Road, Sheffield, S13 9WF","S13 9WF","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/woodhouse-mill/Woodhouse%20Mill%20Service%20Station.pdf","B","petrol-station",""
"UK-Fuel-Penistone-Road.UK_Fuel_Penistone_Road.pdf","UK Fuel Penistone Road (PDF, 474 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/UK-Fuel-Penistone-Road/UK%20Fuel%20Penistone%20Road.pdf","B","petrol-station",""
"Tesco-Savile.Tesco_Savile.pdf","Tesco Savile (PDF, 177 KB)","Tesco Filling Station - Savile Street","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/Tesco-Savile/Tesco%20Savile.pdf","B","petrol-station",""
"1-2-054791-PB2-Shell-Waitrose-Sheffield.Shell_Waitrose_Sheffield.pdf","Shell Waitrose Sheffield (PDF, 509 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/1-2-054791-PB2-Shell-Waitrose-Sheffield/Shell%20Waitrose%20Sheffield.pdf","B","petrol-station",""
"Asda-Sheffield-Mosborough-Superstore.Asda_Sheffield_Mosborough_Superstore.pdf","Asda Sheffield Mosborough Superstore (PDF, 414 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/Asda-Sheffield-Mosborough-Superstore/Asda%20Sheffield%20Mosborough%20Superstore.pdf","B","petrol-station",""
"Co-Operative--Birley-Moor-Rd.Co-Operative__Birley_Moor_Rd.pdf","Co-Operative  Birley Moor Rd (PDF, 492 KB)","","","/dms/scc/management/corporate-communications/documents/environment/pollution/environmental-permitting/permits/b/petrol-station/Co-Operative--Birley-Moor-Rd/Co-Operative%20%20Birley%20Moor%20Rd.pdf","B","petrol-station",""
